Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","6735","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2020","2020","t","70012","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01342.01","Pears","2020","2020","ha","2245","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2020","2020","t","18020","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01375","Pistachios, in shell","2020","2020","ha","2182","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01375","Pistachios, in shell","2020","2020","t","2780.13","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01346","Plums and sloes","2020","2020","ha","3128","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01346","Plums and sloes","2020","2020","t","29872","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01510","Potatoes","2020","2020","ha","53674","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2020","2020","t","855395","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0113","Rice","2020","2020","ha","147555","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2020","2020","t","655400","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01921.01","Seed cotton, unginned","2020","2020","ha","56740","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2020","2020","t","74062","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01444","Sesame seed","2020","2020","ha","64862","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01444","Sesame seed","2020","2020","t","41855","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01801","Sugar beet","2020","2020","ha","347","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01801","Sugar beet","2020","2020","t","5032","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01802","Sugar cane","2020","2020","ha","1541","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2020","2020","t","40292","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","362","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01445","Sunflower seed","2020","2020","t","387","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01376","Walnuts, in shell","2020","2020","ha","5206","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01376","Walnuts, in shell","2020","2020","t","14877","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","01221","Watermelons","2020","2020","ha","66244","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01221","Watermelons","2020","2020","t","990318","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2020","2020","ha","2668000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01341","Apples","2020","2020","ha","4420","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01341","Apples","2020","2020","t","102167","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01343","Apricots","2020","2020","ha","344","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01343","Apricots","2020","2020","t","5143","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0115","Barley","2020","2020","ha","3771","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2020","2020","t","12645","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01701","Beans, dry","2020","2020","ha","13346","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2020","2020","t","25762","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01702","Broad beans and horse beans, dry","2020","2020","ha","172","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01702","Broad beans and horse beans, dry","2020","2020","t","207.57","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01243","Broad beans and horse beans, green","2020","2020","ha","22","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01243","Broad beans and horse beans, green","2020","2020","t","108.37","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01212","Cabbages","2020","2020","ha","1813","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01212","Cabbages","2020","2020","t","64951","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01229","Cantaloupes and other melons","2020","2020","ha","1722","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","50164","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","01251","Carrots and turnips","2020","2020","ha","415","A","Official figure",""
